,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
10202467,0.0,0.0,0.02,0.0,0.35,0.05,0.0,0.16,0.0,0.29,0.0,0.01,0.0,0.11,0.0,4
10211478,0.07,0.0,0.0,0.0,0.0,0.09,0.0,0.25,0.0,0.0,0.01,0.02,0.01,0.53,0.01,13
10211543,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.22,0.48,0.0,0.01,0.0,0.04,0.0,0.02,8
10237912,0.03,0.0,0.02,0.0,0.0,0.39,0.0,0.34,0.04,0.0,0.0,0.0,0.05,0.07,0.06,5
10270690,0.0,0.13,0.01,0.0,0.01,0.27,0.0,0.11,0.0,0.01,0.18,0.27,0.01,0.0,0.0,5
10271477,0.0,0.08,0.47,0.0,0.0,0.0,0.02,0.3,0.0,0.0,0.0,0.12,0.0,0.0,0.0,2
10276862,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.22,0.06,0.0,0.0,0.0,0.04,0.37,0.11,13
10422035,0.79,0.0,0.0,0.0,0.0,0.01,0.0,0.09,0.06,0.0,0.0,0.02,0.0,0.03,0.0,0
10502563,0.08,0.0,0.09,0.0,0.0,0.21,0.0,0.19,0.11,0.0,0.0,0.04,0.03,0.0,0.25,14
10504905,0.01,0.09,0.0,0.0,0.1,0.45,0.0,0.07,0.05,0.0,0.0,0.13,0.01,0.02,0.07,5
10532835,0.1,0.02,0.0,0.0,0.0,0.13,0.0,0.05,0.26,0.05,0.04,0.02,0.0,0.0,0.32,14
10566033,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.22,0.06,0.0,0.22,0.24,0.0,0.0,0.0,5
10574950,0.0,0.18,0.0,0.0,0.0,0.05,0.0,0.36,0.0,0.0,0.0,0.05,0.22,0.07,0.07,7
10651843,0.0,0.0,0.06,0.0,0.0,0.16,0.0,0.47,0.0,0.1,0.0,0.16,0.0,0.0,0.05,7
10687133,0.08,0.07,0.22,0.0,0.01,0.07,0.0,0.04,0.21,0.0,0.01,0.0,0.0,0.0,0.27,14
10766844,0.1,0.03,0.0,0.0,0.0,0.28,0.37,0.19,0.0,0.0,0.0,0.03,0.0,0.0,0.0,6
10777850,0.11,0.0,0.0,0.0,0.0,0.17,0.0,0.67,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7
10885377,0.0,0.0,0.03,0.0,0.0,0.13,0.0,0.3,0.0,0.11,0.04,0.15,0.02,0.15,0.06,7
10963657,0.0,0.0,0.01,0.0,0.0,0.28,0.0,0.43,0.17,0.1,0.01,0.0,0.0,0.0,0.01,7
16004404,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.38,0.0,0.05,0.0,0.0,0.05,0.48,0.0,13
16006001,0.0,0.03,0.0,0.0,0.18,0.32,0.0,0.27,0.11,0.01,0.0,0.06,0.0,0.02,0.0,5
16023519,0.0,0.05,0.44,0.0,0.0,0.06,0.0,0.33,0.0,0.0,0.0,0.02,0.0,0.02,0.08,2
20222248,0.1,0.0,0.0,0.0,0.0,0.36,0.0,0.2,0.11,0.05,0.0,0.0,0.0,0.02,0.15,5
20259874,0.06,0.0,0.01,0.0,0.0,0.18,0.02,0.37,0.28,0.0,0.0,0.03,0.01,0.0,0.05,7
20259978,0.02,0.0,0.0,0.14,0.0,0.23,0.0,0.08,0.0,0.02,0.17,0.11,0.0,0.12,0.1,5
20433505,0.09,0.02,0.0,0.0,0.0,0.29,0.02,0.47,0.0,0.0,0.0,0.0,0.0,0.11,0.0,7
20587875,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.24,0.0,0.42,0.03,13
20659244,0.01,0.07,0.0,0.0,0.0,0.14,0.0,0.21,0.01,0.05,0.11,0.03,0.0,0.21,0.16,7
20681855,0.0,0.0,0.03,0.0,0.0,0.27,0.0,0.23,0.0,0.0,0.18,0.03,0.0,0.26,0.0,5
26000614,0.1,0.0,0.01,0.0,0.01,0.0,0.46,0.21,0.0,0.01,0.03,0.03,0.03,0.0,0.1,6
26006033,0.03,0.0,0.0,0.0,0.0,0.19,0.02,0.29,0.02,0.02,0.0,0.0,0.0,0.41,0.03,13
26015642,0.06,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1,0.05,0.0,0.0,0.01,0.59,0.11,13
30179306,0.34,0.02,0.06,0.01,0.0,0.12,0.0,0.08,0.1,0.06,0.0,0.0,0.0,0.0,0.23,0
30179436,0.0,0.02,0.31,0.0,0.0,0.35,0.0,0.27,0.0,0.0,0.0,0.02,0.0,0.0,0.02,5
30213226,0.0,0.0,0.0,0.0,0.05,0.61,0.0,0.15,0.0,0.02,0.17,0.0,0.0,0.0,0.0,5
30229347,0.0,0.15,0.08,0.0,0.0,0.38,0.0,0.06,0.0,0.01,0.0,0.0,0.06,0.15,0.12,5
30285606,0.19,0.0,0.0,0.0,0.0,0.34,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.04,0.0,7
30354382,0.0,0.0,0.0,0.0,0.05,0.11,0.0,0.68,0.0,0.03,0.11,0.02,0.0,0.0,0.0,7
30358029,0.02,0.01,0.05,0.01,0.0,0.45,0.01,0.1,0.02,0.08,0.15,0.03,0.0,0.0,0.06,5
30385377,0.03,0.0,0.01,0.0,0.0,0.08,0.0,0.17,0.54,0.0,0.0,0.01,0.0,0.03,0.11,8
30419743,0.04,0.0,0.0,0.0,0.05,0.23,0.0,0.11,0.01,0.0,0.56,0.0,0.0,0.0,0.0,10
30442514,0.44,0.0,0.0,0.0,0.0,0.16,0.0,0.14,0.06,0.03,0.06,0.0,0.0,0.01,0.1,0
30455618,0.01,0.0,0.0,0.0,0.0,0.13,0.0,0.25,0.16,0.02,0.0,0.0,0.19,0.06,0.18,7
42074462,0.06,0.0,0.0,0.0,0.0,0.24,0.0,0.39,0.18,0.0,0.0,0.0,0.0,0.06,0.05,7
42103616,0.04,0.0,0.01,0.06,0.0,0.4,0.0,0.11,0.1,0.02,0.0,0.0,0.0,0.07,0.19,5
42103714,0.03,0.02,0.0,0.0,0.0,0.13,0.27,0.33,0.0,0.0,0.03,0.0,0.0,0.18,0.0,7
42103907,0.16,0.0,0.0,0.0,0.0,0.05,0.0,0.14,0.0,0.0,0.24,0.0,0.0,0.4,0.0,13
42103993,0.02,0.0,0.15,0.0,0.01,0.35,0.0,0.2,0.02,0.01,0.0,0.01,0.0,0.0,0.22,5
42104008,0.08,0.0,0.01,0.0,0.02,0.24,0.01,0.21,0.03,0.01,0.0,0.01,0.0,0.0,0.37,14
42104020,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.22,0.04,0.11,0.0,0.0,0.0,0.49,0.0,13
42104347,0.0,0.0,0.0,0.0,0.0,0.38,0.02,0.0,0.05,0.0,0.17,0.13,0.0,0.25,0.0,5
42104357,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.07,0.25,0.0,0.0,0.0,0.0,0.41,0.0,13
42104396,0.14,0.0,0.04,0.0,0.0,0.12,0.0,0.19,0.41,0.0,0.0,0.0,0.08,0.01,0.0,8
42104726,0.55,0.0,0.01,0.0,0.0,0.07,0.0,0.13,0.04,0.02,0.0,0.03,0.09,0.05,0.0,0
42104740,0.0,0.0,0.01,0.23,0.01,0.29,0.0,0.06,0.03,0.01,0.02,0.01,0.04,0.01,0.28,5
42104805,0.0,0.03,0.14,0.0,0.01,0.36,0.01,0.35,0.0,0.01,0.02,0.0,0.0,0.04,0.04,5
42105825,0.2,0.0,0.05,0.0,0.0,0.15,0.0,0.16,0.37,0.0,0.0,0.0,0.03,0.0,0.03,8
42106173,0.23,0.0,0.0,0.1,0.0,0.12,0.0,0.15,0.06,0.02,0.0,0.0,0.0,0.0,0.32,14
42106765,0.11,0.0,0.0,0.0,0.0,0.08,0.0,0.57,0.08,0.0,0.0,0.0,0.0,0.14,0.0,7
42123666,0.15,0.0,0.0,0.0,0.01,0.14,0.0,0.03,0.5,0.02,0.06,0.0,0.0,0.0,0.08,8
42125003,0.0,0.02,0.25,0.0,0.0,0.15,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
42127020,0.01,0.0,0.0,0.0,0.0,0.34,0.0,0.2,0.21,0.0,0.0,0.01,0.0,0.2,0.03,5
42200147,0.0,0.0,0.01,0.0,0.0,0.86,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.05,0.0,5
42262880,0.0,0.07,0.15,0.0,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
42296967,0.01,0.0,0.0,0.0,0.0,0.26,0.0,0.45,0.22,0.0,0.03,0.02,0.0,0.0,0.0,7
42382233,0.05,0.01,0.0,0.0,0.02,0.19,0.0,0.06,0.08,0.0,0.0,0.0,0.02,0.47,0.1,13
42472126,0.61,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.16,0.04,0.0,0.0,0.0,0.02,0.02,0
42488502,0.02,0.02,0.0,0.03,0.01,0.16,0.0,0.07,0.04,0.0,0.38,0.02,0.01,0.24,0.01,10
42531031,0.0,0.04,0.0,0.0,0.57,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.08,0.0,4
42535767,0.0,0.06,0.0,0.0,0.06,0.09,0.0,0.05,0.0,0.03,0.22,0.24,0.04,0.2,0.0,11
42582187,0.36,0.0,0.04,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.04,0.06,0.01,0.12,0.0,7
42593591,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
42643466,0.33,0.0,0.0,0.0,0.0,0.12,0.0,0.36,0.06,0.07,0.04,0.0,0.0,0.0,0.01,7
42648411,0.57,0.01,0.0,0.0,0.0,0.07,0.0,0.16,0.02,0.0,0.04,0.0,0.01,0.13,0.0,0
42660498,0.04,0.0,0.0,0.0,0.01,0.18,0.01,0.08,0.03,0.09,0.5,0.01,0.0,0.04,0.01,10
42678255,0.05,0.0,0.04,0.0,0.01,0.18,0.0,0.06,0.46,0.01,0.07,0.0,0.0,0.09,0.01,8
42693322,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.28,0.0,0.0,0.46,0.09,0.0,0.06,0.0,10
42717782,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.23,0.03,0.0,0.0,0.0,0.48,0.13,0.0,12
42718182,0.0,0.15,0.0,0.0,0.0,0.27,0.13,0.07,0.0,0.05,0.08,0.09,0.01,0.15,0.01,5
42730898,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.32,0.07,0.05,0.03,0.0,0.01,0.25,0.0,7
42730934,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.29,0.39,0.0,0.0,0.14,0.0,10
42730954,0.0,0.38,0.0,0.0,0.01,0.36,0.0,0.14,0.0,0.0,0.01,0.01,0.0,0.07,0.01,1
42738794,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.11,0.0,0.0,0.17,0.02,0.0,0.11,0.06,5
42751023,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.0,0.0,0.02,0.0,0.54,0.09,0.0,12
42760083,0.13,0.0,0.03,0.0,0.04,0.06,0.01,0.2,0.0,0.32,0.0,0.01,0.0,0.0,0.19,9
42761636,0.0,0.01,0.0,0.0,0.0,0.65,0.0,0.01,0.11,0.01,0.0,0.02,0.0,0.0,0.2,5
42764514,0.09,0.0,0.0,0.0,0.04,0.28,0.0,0.31,0.08,0.1,0.09,0.0,0.0,0.0,0.0,7
42771011,0.21,0.0,0.0,0.0,0.0,0.33,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.08,0.23,5
42774166,0.39,0.02,0.0,0.0,0.02,0.06,0.0,0.21,0.0,0.0,0.0,0.01,0.22,0.0,0.07,0
42784985,0.09,0.0,0.0,0.01,0.0,0.2,0.0,0.27,0.28,0.01,0.01,0.0,0.01,0.11,0.01,8
42863170,0.0,0.01,0.0,0.0,0.01,0.51,0.0,0.12,0.0,0.0,0.2,0.06,0.0,0.09,0.0,5
42931195,0.0,0.0,0.0,0.0,0.02,0.37,0.0,0.15,0.0,0.05,0.05,0.0,0.21,0.1,0.05,5
42994233,0.11,0.42,0.0,0.0,0.0,0.02,0.0,0.21,0.05,0.0,0.01,0.02,0.0,0.15,0.0,1
43027900,0.05,0.0,0.02,0.0,0.02,0.38,0.0,0.22,0.25,0.0,0.02,0.0,0.0,0.0,0.04,5
43055099,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.45,0.1,0.11,0.0,0.0,0.0,0.17,0.0,7
43067595,0.06,0.15,0.01,0.0,0.0,0.0,0.0,0.24,0.0,0.5,0.0,0.0,0.0,0.05,0.0,9
43086666,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.21,0.69,0.0,0.02,0.0,0.0,0.06,0.0,8
43103694,0.28,0.0,0.0,0.0,0.0,0.12,0.0,0.28,0.14,0.0,0.02,0.04,0.0,0.11,0.0,0
43136110,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.29,0.05,0.0,0.0,0.06,0.0,0.06,0.38,14
43138434,0.06,0.0,0.1,0.0,0.0,0.26,0.0,0.1,0.36,0.01,0.01,0.01,0.0,0.06,0.02,8
43139666,0.02,0.0,0.0,0.0,0.02,0.11,0.02,0.42,0.06,0.13,0.0,0.01,0.0,0.08,0.13,7
43148018,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.18,0.0,0.03,0.0,0.0,0.02,0.16,0.08,6
43182053,0.02,0.02,0.01,0.0,0.01,0.43,0.01,0.06,0.26,0.0,0.0,0.0,0.0,0.02,0.18,5
43222167,0.0,0.0,0.0,0.0,0.28,0.15,0.03,0.13,0.0,0.37,0.0,0.0,0.0,0.0,0.04,9
43252955,0.1,0.0,0.01,0.0,0.0,0.32,0.0,0.2,0.14,0.0,0.0,0.01,0.0,0.23,0.0,5
43259160,0.02,0.0,0.0,0.0,0.01,0.36,0.0,0.03,0.32,0.0,0.01,0.01,0.0,0.04,0.19,5
43262046,0.06,0.0,0.0,0.0,0.0,0.2,0.0,0.11,0.12,0.0,0.02,0.0,0.0,0.05,0.44,14
43265555,0.04,0.06,0.0,0.0,0.0,0.32,0.0,0.1,0.03,0.0,0.37,0.07,0.0,0.01,0.01,10
43286118,0.01,0.0,0.01,0.0,0.0,0.33,0.0,0.13,0.0,0.0,0.3,0.03,0.0,0.17,0.01,5
43290689,0.46,0.04,0.0,0.0,0.0,0.14,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0
43330698,0.04,0.03,0.01,0.0,0.0,0.09,0.01,0.24,0.54,0.01,0.0,0.0,0.0,0.0,0.02,8
43351427,0.01,0.0,0.0,0.0,0.0,0.29,0.0,0.24,0.38,0.0,0.0,0.0,0.0,0.08,0.0,8
43391788,0.11,0.0,0.01,0.0,0.0,0.1,0.0,0.2,0.39,0.01,0.0,0.0,0.01,0.01,0.15,8
43416862,0.0,0.05,0.0,0.0,0.0,0.22,0.0,0.1,0.0,0.01,0.04,0.03,0.32,0.22,0.0,12
43452763,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.38,0.54,0.0,0.0,0.0,0.0,0.0,0.03,8
