,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
10202467,0.0,0.0,0.01,0.05,0.0,0.02,0.0,0.0,0.32,0.0,0.0,0.54,0.0,0.01,0.04,11
10211478,0.0,0.0,0.0,0.07,0.03,0.0,0.64,0.02,0.18,0.01,0.04,0.0,0.0,0.0,0.0,6
10211543,0.0,0.0,0.0,0.0,0.37,0.0,0.29,0.03,0.06,0.0,0.03,0.0,0.12,0.08,0.02,4
10237912,0.0,0.0,0.0,0.0,0.22,0.0,0.52,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.1,6
10270690,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.12,0.0,0.62,0.0,0.0,0.0,0.12,10
10271477,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.09,0.0,0.0,0.0,0.65,14
10276862,0.0,0.0,0.0,0.0,0.09,0.0,0.64,0.05,0.14,0.0,0.0,0.0,0.08,0.0,0.0,6
10422035,0.0,0.0,0.0,0.73,0.01,0.0,0.18,0.0,0.0,0.0,0.02,0.01,0.06,0.0,0.0,3
10502563,0.0,0.0,0.0,0.0,0.47,0.0,0.29,0.01,0.1,0.0,0.05,0.0,0.02,0.01,0.05,4
10504905,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.33,0.0,0.24,0.07,0.09,0.0,0.14,8
10532835,0.0,0.0,0.0,0.03,0.11,0.0,0.13,0.01,0.14,0.06,0.05,0.0,0.43,0.0,0.04,12
10566033,0.0,0.08,0.0,0.0,0.0,0.08,0.19,0.0,0.47,0.0,0.04,0.0,0.06,0.0,0.08,8
10574950,0.0,0.0,0.0,0.12,0.06,0.0,0.31,0.16,0.27,0.0,0.07,0.0,0.0,0.0,0.0,6
10651843,0.0,0.0,0.0,0.0,0.02,0.0,0.35,0.0,0.36,0.02,0.0,0.05,0.02,0.01,0.18,8
10687133,0.0,0.0,0.0,0.03,0.24,0.0,0.14,0.0,0.05,0.0,0.04,0.01,0.18,0.0,0.29,14
10766844,0.33,0.0,0.0,0.04,0.04,0.03,0.29,0.0,0.17,0.0,0.03,0.0,0.0,0.0,0.06,0
10777850,0.0,0.0,0.0,0.0,0.04,0.0,0.65,0.0,0.12,0.04,0.0,0.15,0.0,0.0,0.0,6
10885377,0.0,0.02,0.0,0.0,0.06,0.04,0.12,0.07,0.44,0.0,0.0,0.08,0.0,0.0,0.15,8
10963657,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.0,0.15,0.08,0.0,0.05,0.19,0.0,0.23,6
16004404,0.0,0.0,0.0,0.0,0.0,0.01,0.83,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.02,6
16006001,0.0,0.0,0.0,0.01,0.0,0.0,0.27,0.0,0.15,0.0,0.13,0.18,0.12,0.0,0.14,6
16023519,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.07,0.0,0.08,0.0,0.72,14
20222248,0.0,0.0,0.0,0.0,0.41,0.0,0.29,0.0,0.1,0.04,0.0,0.0,0.03,0.0,0.11,4
20259874,0.0,0.0,0.01,0.0,0.32,0.0,0.36,0.0,0.04,0.0,0.0,0.0,0.03,0.12,0.11,6
20259978,0.0,0.0,0.33,0.02,0.03,0.01,0.08,0.0,0.36,0.01,0.08,0.01,0.05,0.0,0.02,8
20433505,0.0,0.0,0.0,0.15,0.0,0.0,0.38,0.0,0.15,0.01,0.0,0.0,0.0,0.0,0.32,6
20587875,0.0,0.15,0.0,0.0,0.03,0.0,0.23,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,8
20659244,0.0,0.0,0.0,0.0,0.15,0.01,0.29,0.0,0.48,0.05,0.0,0.0,0.0,0.01,0.0,8
20681855,0.0,0.0,0.19,0.0,0.0,0.0,0.42,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19,6
26000614,0.49,0.0,0.0,0.0,0.03,0.0,0.21,0.01,0.04,0.1,0.0,0.0,0.04,0.0,0.09,0
26006033,0.0,0.0,0.0,0.03,0.0,0.0,0.7,0.0,0.19,0.02,0.0,0.0,0.05,0.0,0.0,6
26015642,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.01,0.2,0.07,0.0,0.0,0.15,0.0,0.0,6
30179306,0.0,0.0,0.0,0.1,0.43,0.0,0.12,0.0,0.06,0.03,0.0,0.0,0.08,0.08,0.1,4
30179436,0.0,0.02,0.0,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.02,0.0,0.01,0.02,0.66,14
30213226,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.54,0.0,0.04,0.08,0.0,0.0,0.14,8
30229347,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.44,0.0,0.09,0.0,0.1,0.02,0.15,8
30285606,0.0,0.0,0.0,0.14,0.02,0.0,0.69,0.0,0.13,0.0,0.0,0.0,0.0,0.03,0.0,6
30354382,0.0,0.0,0.01,0.0,0.0,0.04,0.55,0.0,0.25,0.02,0.01,0.0,0.0,0.0,0.12,6
30358029,0.0,0.0,0.0,0.0,0.06,0.09,0.11,0.0,0.47,0.07,0.03,0.0,0.0,0.0,0.16,8
30385377,0.0,0.04,0.0,0.0,0.0,0.0,0.24,0.01,0.03,0.0,0.02,0.0,0.6,0.0,0.06,12
30419743,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.66,0.08,0.13,0.07,0.0,0.01,0.01,8
30442514,0.0,0.0,0.0,0.0,0.24,0.0,0.26,0.0,0.13,0.29,0.01,0.0,0.05,0.0,0.02,9
30455618,0.0,0.0,0.0,0.02,0.03,0.02,0.36,0.18,0.1,0.0,0.0,0.0,0.26,0.02,0.0,6
42074462,0.0,0.0,0.0,0.01,0.19,0.0,0.53,0.0,0.15,0.0,0.0,0.0,0.07,0.0,0.05,6
42103616,0.0,0.0,0.14,0.03,0.04,0.0,0.21,0.0,0.3,0.0,0.0,0.0,0.18,0.0,0.09,8
42103714,0.21,0.0,0.0,0.0,0.0,0.0,0.53,0.01,0.13,0.07,0.03,0.0,0.0,0.02,0.0,6
42103907,0.0,0.0,0.0,0.21,0.0,0.0,0.34,0.0,0.21,0.05,0.19,0.0,0.0,0.0,0.0,6
42103993,0.0,0.0,0.0,0.0,0.15,0.0,0.21,0.0,0.13,0.0,0.0,0.02,0.07,0.0,0.41,14
42104008,0.0,0.0,0.0,0.02,0.14,0.0,0.39,0.0,0.13,0.0,0.0,0.08,0.18,0.0,0.06,6
42104020,0.0,0.0,0.0,0.04,0.0,0.0,0.64,0.0,0.19,0.06,0.0,0.04,0.04,0.0,0.0,6
42104347,0.0,0.01,0.0,0.04,0.03,0.0,0.16,0.0,0.49,0.0,0.13,0.0,0.0,0.0,0.13,8
42104357,0.0,0.0,0.0,0.32,0.0,0.0,0.26,0.0,0.22,0.0,0.0,0.0,0.19,0.0,0.0,3
42104396,0.0,0.01,0.0,0.02,0.32,0.0,0.15,0.04,0.06,0.02,0.0,0.01,0.08,0.16,0.13,4
42104726,0.0,0.07,0.0,0.53,0.01,0.0,0.18,0.07,0.06,0.03,0.0,0.0,0.0,0.0,0.05,3
42104740,0.0,0.0,0.28,0.01,0.11,0.02,0.07,0.03,0.16,0.0,0.01,0.02,0.15,0.0,0.14,2
42104805,0.0,0.02,0.0,0.0,0.01,0.0,0.3,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.39,14
42105825,0.0,0.0,0.0,0.11,0.23,0.0,0.19,0.01,0.1,0.0,0.0,0.0,0.18,0.06,0.11,4
42106173,0.0,0.0,0.19,0.17,0.18,0.0,0.18,0.0,0.05,0.0,0.0,0.03,0.12,0.0,0.07,2
42106765,0.0,0.0,0.01,0.23,0.02,0.0,0.57,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.07,6
42123666,0.0,0.0,0.0,0.0,0.29,0.01,0.04,0.0,0.06,0.1,0.0,0.02,0.17,0.26,0.06,4
42125003,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.56,14
42127020,0.0,0.0,0.0,0.01,0.03,0.0,0.36,0.0,0.37,0.0,0.0,0.0,0.21,0.0,0.04,8
42200147,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.79,0.01,0.01,0.0,0.0,0.0,0.11,8
42262880,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14
42296967,0.0,0.0,0.0,0.0,0.0,0.01,0.4,0.0,0.11,0.0,0.06,0.05,0.19,0.0,0.16,6
42382233,0.0,0.0,0.0,0.05,0.11,0.0,0.38,0.02,0.37,0.0,0.0,0.0,0.07,0.0,0.0,6
42472126,0.0,0.0,0.0,0.43,0.27,0.0,0.14,0.0,0.03,0.08,0.0,0.0,0.03,0.0,0.02,3
42488502,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.35,0.0,0.37,0.0,0.04,0.01,0.03,10
42531031,0.01,0.0,0.0,0.0,0.0,0.1,0.04,0.01,0.25,0.0,0.02,0.52,0.04,0.0,0.0,11
42535767,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.07,0.39,0.0,0.45,0.05,0.0,0.0,0.0,10
42582187,0.02,0.0,0.0,0.37,0.0,0.0,0.37,0.02,0.23,0.0,0.0,0.0,0.0,0.0,0.0,3
42593591,0.0,0.0,0.0,0.0,0.0,0.12,0.59,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,6
42643466,0.0,0.0,0.01,0.03,0.04,0.01,0.33,0.0,0.09,0.26,0.0,0.03,0.07,0.05,0.07,6
42648411,0.0,0.0,0.0,0.47,0.05,0.0,0.21,0.0,0.12,0.1,0.0,0.0,0.01,0.0,0.05,3
42660498,0.0,0.0,0.14,0.02,0.02,0.01,0.14,0.0,0.27,0.1,0.26,0.01,0.02,0.0,0.03,8
42678255,0.0,0.0,0.0,0.04,0.18,0.01,0.11,0.0,0.25,0.01,0.03,0.0,0.28,0.0,0.1,12
42693322,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.21,0.03,0.45,0.04,0.0,0.0,0.0,10
42717782,0.0,0.0,0.0,0.02,0.0,0.0,0.28,0.54,0.16,0.0,0.0,0.0,0.0,0.0,0.0,7
42718182,0.13,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.63,0.02,0.12,0.0,0.0,0.01,0.02,8
42730898,0.0,0.0,0.03,0.1,0.05,0.0,0.45,0.01,0.25,0.06,0.0,0.0,0.02,0.0,0.03,6
42730934,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.0,0.34,0.27,0.25,0.0,0.0,0.0,0.01,8
42730954,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.48,0.0,0.32,0.02,0.0,0.0,0.02,8
42738794,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.82,0.0,0.0,0.0,0.01,0.0,0.06,8
42751023,0.0,0.0,0.02,0.05,0.01,0.0,0.2,0.58,0.09,0.0,0.04,0.0,0.0,0.0,0.0,7
42760083,0.01,0.02,0.04,0.01,0.17,0.0,0.26,0.0,0.07,0.2,0.0,0.13,0.02,0.0,0.06,6
42761636,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.0,0.4,0.0,0.0,0.01,0.27,0.0,0.18,8
42764514,0.0,0.0,0.0,0.0,0.1,0.0,0.32,0.0,0.19,0.18,0.0,0.09,0.0,0.01,0.12,6
42771011,0.0,0.0,0.0,0.0,0.43,0.0,0.25,0.0,0.28,0.0,0.0,0.0,0.03,0.0,0.01,4
42774166,0.0,0.0,0.0,0.22,0.04,0.03,0.27,0.28,0.0,0.07,0.01,0.0,0.02,0.03,0.04,7
42784985,0.0,0.0,0.0,0.09,0.23,0.0,0.36,0.0,0.14,0.01,0.01,0.0,0.09,0.0,0.06,6
42863170,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.61,0.0,0.19,0.0,0.0,0.0,0.12,8
42931195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.61,0.04,0.0,0.04,0.04,0.0,0.0,8
42994233,0.0,0.0,0.0,0.06,0.0,0.0,0.2,0.03,0.03,0.0,0.09,0.0,0.05,0.5,0.04,13
43027900,0.0,0.0,0.0,0.0,0.11,0.0,0.36,0.0,0.14,0.02,0.05,0.0,0.17,0.0,0.15,6
43055099,0.0,0.11,0.0,0.0,0.07,0.0,0.37,0.0,0.0,0.06,0.0,0.06,0.02,0.0,0.3,6
43067595,0.01,0.0,0.0,0.04,0.0,0.0,0.25,0.0,0.3,0.37,0.0,0.0,0.0,0.0,0.03,9
43086666,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.06,0.0,0.01,0.0,0.65,0.0,0.01,12
43103694,0.0,0.0,0.09,0.22,0.18,0.0,0.25,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.05,6
43136110,0.0,0.04,0.0,0.0,0.0,0.0,0.36,0.0,0.24,0.07,0.0,0.0,0.29,0.0,0.0,6
43138434,0.0,0.0,0.0,0.06,0.16,0.01,0.1,0.0,0.2,0.0,0.01,0.0,0.24,0.0,0.21,12
43139666,0.0,0.04,0.0,0.01,0.14,0.0,0.5,0.0,0.08,0.01,0.01,0.09,0.05,0.0,0.05,6
