EIN,OrgID,OverallRtg,Tax_Year,Charity Name,Category,Cause,Focus,Total_Assets,Total_Liabilities,Total_Net_Assets,Wkg_Capital,Total_Contributions,ProgSvcRev,Other_Revenue,Total_Revenue,Fundraising_Expenses,Administration_Expenses,Program_Expenses,Total_Expenses,
133355315,11013,2,2016,"""I Have a Dream"" Foundation",Education,Scholarship and Financial Support,Scholarships & Financial Aid,954635,368356,586279,586279,2424645,85415,472581,2982641,918483,337873,1553039,2809395,FALSE
953667812,6466,4,2015,"10,000 Degrees",Education,Scholarship and Financial Support,Scholarships & Financial Aid,8611662,511884,8099778,6848461,7237039,0,390655,7627694,1153456,885868,5401366,7440690,FALSE
581974429,12098,2,2015,"100 Black Men of America, Inc.",Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",4056251,1305215,2751036,2751036,4150870,258230,3084,4412184,103657,485094,3231453,3820204,FALSE
237172077,12123,4,2015,100 Club of Arizona,Human Services,Multipurpose Human Service Organizations,Cop/Firefighter Relief,2063556,227644,1835912,1835912,1762473,0,31776,1794249,67967,494894,2004973,2567834,FALSE
592761163,10092,4,2015,1000 Friends of Florida,Environment,Environmental Protection and Conservation,Law & Policy,533695,20705,512990,512990,500911,10722,743,512376,24744,76527,365231,466502,FALSE
930642086,8770,2,2016,1000 Friends of Oregon,Environment,Environmental Protection and Conservation,Law & Policy,2919154,45150,2874004,73263,803337,0,19716,823053,166903,79824,611868,858595,FALSE
261150699,16289,4,2015,350.org,Environment,Environmental Protection and Conservation,Law & Policy,5137543,973911,4163632,4163632,11233864,44803,1288,11279955,221180,1278297,7407371,8906848,FALSE
311625484,13055,4,2015,4 Paws for Ability ,Human Services,Social Services,Services for the Disabled,5349541,2471143,2878398,2878398,2727652,9205,21285,2758142,188310,160901,2369432,2718643,FALSE
237173492,6082,2,2015,A Better Chance,Education,Youth Education Programs and Services,In-School Educational Programs & Services for Elementary and Secondary Students,15772743,2649595,13123148,989598,2011204,214055,633965,2859224,938604,423652,2739327,4101583,FALSE
131835632,16343,3,2015,A Chance In Life,Human Services,"Youth Development, Shelter, and Crisis Services","Homes, Shelters, & Crisis Services",2391888,44511,2347377,2347377,2657596,0,-195944,2461652,239561,176139,912762,1328462,FALSE
910787792,3634,2,2015,A Contemporary Theatre,"Arts, Culture, Humanities",Performing Arts,Theater Groups,2268234,4691325,-2423091,-2423091,3882232,3292217,438464,7612913,595074,997499,4954862,6547435,FALSE
593515162,12217,4,2016,A Gift for Teaching,Education,Youth Education Programs and Services,Classroom Support,4323816,100,4323716,4323716,12170342,0,146801,12317143,153595,170728,11037782,11362105,FALSE
900018359,16302,3,2016,A Jewish Voice for Peace,International,"International Peace, Security, and Affairs",Human Rights,1159738,265676,894062,894062,2507450,4687,19159,2531296,358615,322272,2013441,2694328,FALSE
311440073,9239,4,2015,A Kid Again,Health,Patient and Family Support,Wish Programs,1379507,35930,1343577,1278532,1217849,0,681528,1899377,145516,58020,1712796,1916332,FALSE
260295572,15719,4,2015,A Kids' Brain Tumor Cure,Health,Medical Research,Cancer,3449281,37441,3411840,3411840,1511600,0,1546,1513146,158576,65538,1002968,1227082,FALSE
954443878,10176,4,2016,A Noise Within,"Arts, Culture, Humanities",Performing Arts,Theater Groups,12927835,915732,12012103,12012103,1646119,1339184,85970,3071273,184204,277168,2238768,2700140,FALSE
954427291,8040,4,2015,A Place Called Home,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",7182169,307608,6874561,6674561,5527246,0,4735,5531981,645513,530082,3856178,5031773,FALSE
520794300,3205,3,2015,AARP Foundation,Human Services,Social Services,Services for the Elderly,129157960,48471186,80686774,80686774,152271399,212938,6209696,158694033,18169330,6789544,126556119,151514993,FALSE
526037388,3240,4,2016,AAUW - American Association of University Women,Education,Youth Education Programs and Services,Educational Programs & Services for Postsecondary Students,132249840,12569564,119680276,36485166,10072649,626747,17786454,28485850,1420682,2634410,17502309,21557401,FALSE
205967513,13189,2,2015,Abandoned Children's Fund,International,Development and Relief Services,Humanitarian Services,407513,65569,341944,341944,11239498,0,98139,11337637,633413,72982,10507656,11214051,FALSE
042648411,15570,3,2015,Abby's House,Human Services,Social Services,Domestic Violence,3697044,631457,3065587,3065587,1211168,457302,22623,1691093,142737,127820,1204495,1475052,FALSE
943087060,9182,4,2015,Abode Services,Human Services,Homeless Services,Homelessness - Direct Services,13664029,3953307,9710722,9710722,22870597,1285745,164684,24321026,610242,1290437,21546908,23447587,FALSE
521730021,14729,3,2016,Academy of Hope Adult Public Charter School,Education,Adult Education Programs and Services,Continuing & Adult Education,6503498,4911184,1592314,1592314,1018708,3950230,12574,4981512,339291,516967,3833245,4689503,FALSE
231352001,6064,4,2016,Academy of Vocal Arts,Education,Youth Education Programs and Services,Arts Education,39762590,3844183,35918407,15394837,4007806,296361,1682054,5986221,403954,604803,2905945,3914702,FALSE
132535763,3211,4,2015,ACCION International,International,Development and Relief Services,Economic and Agricultural Development,372287490,10304040,361983450,361983450,13315273,6581324,14091639,33988236,2637254,5208807,29747538,37593599,FALSE
330620415,7806,4,2015,ACCION San Diego,Community Development,Housing and Neighborhood Development,Business Instruction and Credit Services,9194764,2500879,6693885,6693885,2437279,809008,3167,3249454,47940,81528,1258359,1387827,FALSE
651203744,12696,3,2015,Achievement First,Education,Scholarship and Financial Support,Education & School Foundations,15772684,11278193,4494491,4494491,18827529,20214845,269036,39311410,779838,2561466,41390080,44731384,FALSE
