,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,child,life,church,care,leader,people,country,ministry,provide,world,year,violence,work,help,hiv
Topic 1,medium,public,online,social,event,people,free,reach,audience,website,information,resource,use,issue,national
Topic 2,art,community,program,music,museum,education,new,artist,audience,visitor,experience,cultural,year,theatre,instrument
Topic 3,food,program,meal,hunger,bank,distribute,need,community,partner,agency,provide,year,county,distribution,pound
Topic 4,goal,board,increase,year,program,support,new,organization,plan,staff,volunteer,strategic,foundation,donor,provide
Topic 5,school,student,college,program,year,education,high,child,graduate,teacher,provide,academic,career,success,skill
Topic 6,community,work,partner,impact,way,people,change,local,health,united,organization,support,project,program,need
Topic 7,research,patient,cancer,health,disease,medical,treatment,support,care,fund,clinical,grant,scientific,lead,foundation
Topic 8,service,family,program,provide,need,community,client,care,housing,health,individual,child,help,home,serve
Topic 9,conservation,habitat,land,protect,environmental,work,park,water,project,energy,wildlife,hawaii,public,national,natural
Topic 10,program,youth,child,community,girl,family,develop,development,serve,goal,year,support,outcome,service,provide
Topic 11,kid,member,club,disability,veteran,age,blind,sport,physical,child,vision,program,provide,healthy,people
Topic 12,animal,pet,dog,shelter,adoption,care,humane,cat,program,rescue,neuter,spay,number,community,home
Topic 13,science,scholar,corp,independent,society,alumnus,research,mcdonald,scientist,ronald,scientific,marine,room,scholarship,charlotte
Topic 14,policy,state,legal,law,advocacy,right,work,advocate,public,justice,federal,national,angeles,issue,include
