,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,animal,pet,dog,shelter,adoption,care,humane,rescue,cat,neuter,spay,number,home,kill,program
Topic 1,church,leader,hope,life,people,mission,god,christ,train,relationship,christian,year,training,team,vision
Topic 2,people,disability,blind,vision,kidney,adult,age,individual,special,lgbt,guide,training,include,athlete,state
Topic 3,service,client,family,program,provide,housing,need,homeless,individual,help,job,homelessness,shelter,community,work
Topic 4,child,program,family,youth,parent,teen,school,provide,skill,life,young,serve,social,center,outcome
Topic 5,cancer,medium,los,angeles,public,radio,social,online,free,website,event,lung,live,audience,news
Topic 6,program,community,goal,service,increase,need,support,year,provide,volunteer,organization,staff,board,plan,area
Topic 7,food,hunger,bank,distribute,meal,program,agency,partner,distribution,need,pound,provide,county,million,year
Topic 8,community,work,partner,people,project,change,impact,country,organization,local,leader,world,help,program,support
Topic 9,health,care,service,medical,provide,patient,abuse,violence,child,prevention,clinic,access,education,hiv,woman
Topic 10,policy,public,state,work,hawaii,protect,california,conservation,san,environmental,land,wildlife,national,issue,campaign
Topic 11,research,foundation,fund,grant,treatment,support,patient,disease,scientific,review,medical,funding,national,scientist,lead
Topic 12,student,school,college,program,education,high,year,graduate,teacher,career,scholarship,academic,skill,grade,learn
Topic 13,girl,home,club,habitat,build,wish,family,neighborhood,year,volunteer,affordable,village,county,boy,repair
Topic 14,art,new,program,music,year,community,experience,include,event,center,audience,board,museum,artist,plan
